date,month,year,APN,ANT,AST,BRT,BRV,BRD,BTH,BLB,BOC,BMP,BQC,BWN,BWS,BDP,BIO,BUC,BCL,BTV,CCH,CVE,CMN,CFW,ALM,CPL,CSI,CAS,SLW,CHB,CHY,JNN,CLK,CLA,CGS,CMB,CTG,CYC,MNC,CNV,CUY,MHV,DLV,DNP,DON,DNL,DWN,EPK,ELC,ENR,ENG,FLR,FOL,FRL,FMD,FRD,MIL,GLK,GBR,GBL,PWL,GNT,DAV,HWE,HNS,HID,MEA,HNT,ICH,INL,MMW,INV,IRC,ISB,JCK,ATN,KNT,KRH,KES,LFY,LGT,HMT,HNN,HDG,LVD,TAH,LVY,LRA,LEW,LNG,LGV,CRW,LON,LSB,LWB,CRY,HHL,LYS,SWB,MPL,EDN,MRT,MAT,MHW,MCO,MCS,MMR,MDO,BER,MOR,MRR,NCM,NAT,BUL,MCR,NHG,NML,NCA,ONF,HTH,ORO,LOT,PAR,HVS,PRR,PLL,PNF,PT6,PT7,BIT,PRS,PYM,QUL,RLC,RDN,RLF,RLL,RTD,SDB,SLN,SLS,SNN,SAT,SGB,SNL,SLF,LUS,SPB,SVT,PRU,SGC,SFL,SHA,SHV,SIV,SKN,SLB,SLC,JNK,SOL,SLJ,SLK,SPG,SPM,STP,STG,SCC,STD,SW3,TRM,TAB,TMT,TNM,CLE,TUL,TLC,TWT,UNV,KLM,USL,VIL,TAE,VLP,WRS,WHR,WHI,WSN
1990-02,2,1990,7556,14789,1556,6780,41185,21000,4792,41795,3283,3082,31840,28300,31195,11980,55506,12433,56824,38666,58814,38255,188200,103100,753358,5262,158151,302851,72235,8504,118900,8753,264200,124905,1093,4480,54877,48,76218,27260,597,1675700,33697,1262000,14500,3030,19260,48390,51540,2280,59810,1119,378200,5646,62200,25347,204700,5433,35200,0,18196000,20300,51489,14000,6193,9339,21771104,42848,28906,15100,4098,31722,9000,81570,38600,20880,15664,3963,21307,3104,350,3542,13250,13520,10739,48600,1066,8742,13955,1723,56100,90400,30801,16170,8102,40301,92719,1723,3321,27167,15920,796,834,153776,17920,9027,5965,18248,833511,9699,4418,25900,7913,639369,151900,31507,800100,14348,45970,92000,1935355,39080,196100,540400,126155,46809,98938,13130,31014,36685,18084,160486,7036,9271,19764,1843,45100,49200,1924,2558,21789,14121,30785,6577,1659787,730985,928802,32152,76050,21800,7800,41394,2428734,38695,678,40811,15930,22900,30230,410,7282,1393,20593,82823,99207,42590,12564,1104,10269,12367,34004,58272,6090,1340026,55200,24165,0,181060,393200,29441,18720,7832,18,165915,18940,206094,42850
1990-03,3,1990,8151,17181,1959,11300,43306,36500,4743,48991,11395,3204,32090,33900,52320,14210,55354,13888,61994,39569,57566,35858,200300,102900,795583,5857,156340,314150,68428,8474,126100,8817,252960,136004,1236,4548,56750,1294,87957,32820,617,1607830,36174,1297000,11600,5030,21500,48360,54060,2910,62027,1198,502700,5646,74400,27344,249500,2770,46250,0,17991600,19220,54726,13890,7290,11916,21476608,36355,32594,15800,8661,34890,11410,78275,38400,21080,16449,3984,21062,3003,350,3659,13191,13780,10763,51000,2075,8661,13631,1946,63000,95200,39669,16124,16658,36094,112426,2343,5110,22607,18071,820,786,156640,20290,8890,6230,11760,830470,4998,4277,26800,7885,754276,185100,42390,769400,12964,45682,95700,2091865,38150,191500,582100,125811,58981,105737,14960,33167,28733,18074,158788,6209,9372,25001,2820,49600,47700,0,2508,31657,18013,30725,7850,1838781,766645,1072136,33246,76810,22100,14300,46603,2709100,34973,2230,39206,16200,43200,35270,650,7328,1312,35530,90016,99934,50100,18175,1165,12136,29677,31754,54955,7980,1431313,58000,21826,0,201655,475320,32419,18780,10277,22,165936,18609,205741,53184
1990-04,4,1990,7718,19765,2148,10600,43303,38600,4440,49579,21471,3220,28770,47800,108800,12660,55223,14219,69073,40467,55804,33570,190100,98200,835490,9146,154380,316505,68048,8416,157800,8914,245600,126957,1259,4424,60013,1219,87414,39308,598,1620020,36978,1289000,51700,7540,18840,41840,56390,5550,66180,4778,525200,8424,96800,28318,305200,2776,45810,0,17774976,18770,55713,13810,7940,14002,21068000,59650,36910,15100,11215,35250,19567,83957,52300,21040,16419,3968,22790,3060,350,3823,12575,14100,10750,86200,4216,8469,14397,1867,74000,96700,57081,15979,42203,34669,145470,4063,13667,54134,19034,802,779,156821,27710,8890,5741,11162,798720,5012,4112,26845,8223,832239,237200,44369,714600,11044,41349,161500,1871358,38340,194000,598000,125492,62598,211731,15100,33307,35154,16309,161845,6057,8943,24784,7600,58100,47700,950,2449,77687,18496,29996,9042,1971565,821302,1150263,31874,77590,21400,18315,46635,2484182,35123,7040,40409,16128,55000,38040,640,7009,1466,69310,115865,105113,47010,20213,1222,13201,57458,19273,42465,4760,1497711,61300,23167,0,245563,483900,34389,18770,15476,29,164983,18209,216683,59362
1990-05,5,1990,7573,20016,2134,9290,42590,68500,4258,54117,27164,3899,32800,55100,126150,10250,55147,14242,76059,37919,52149,31695,187200,84200,868496,13921,151842,293650,66182,8365,163000,8054,231500,120389,1209,5541,70429,488,89209,42581,560,1640700,38329,1249000,59600,9430,20100,34930,56710,14600,68154,26603,566800,11903,109700,25870,350200,4548,39220,0,17633312,16950,54948,14070,5943,15029,20600608,80392,43020,15900,10439,36878,6630,94365,59500,20560,17063,3830,21995,3036,350,3741,12340,14030,10671,95900,5236,8965,13727,1841,80300,91700,70908,15757,50985,37812,166529,6255,18312,65038,18392,798,789,178898,34305,8410,6314,13040,772730,4920,4294,26305,8010,852584,257400,40820,633900,11030,48045,234500,1727608,39770,191500,615000,119721,79552,306003,15120,32393,36746,17194,164472,7051,,25006,11380,66300,51500,1781,2379,99225,17548,26988,8901,1672133,736899,935234,32310,79510,21400,17240,46077,2476623,35887,8598,40215,16088,62300,38570,600,6026,2139,74508,126762,97574,44910,22026,1138,12448,88527,38938,62394,7230,1597953,64100,25395,0,259528,472800,34048,18610,24038,28,167872,17745,232698,56178
1990-06,6,1990,7831,19972,1765,8150,41887,77700,4494,51393,27245,3546,32340,46000,115019,8000,54878,13894,80218,35701,43052,29257,185600,78400,883952,16932,149038,273595,69753,8314,139300,7809,204290,103186,1210,4920,65740,0,90991,42971,506,1552600,38883,1221000,58200,9300,18700,38060,55160,20700,67565,36779,524700,12399,106200,24044,316500,5595,31570,0,17820816,15600,53062,13640,4872,15195,20415008,85219,44801,16800,6876,37087,21096,89694,63700,20080,16452,4015,22192,3008,350,3609,11850,14000,10565,89800,5782,9278,14128,1597,82500,90400,72770,15561,43291,43586,171248,5303,17606,99105,17500,779,752,175132,32009,8487,6259,14828,740401,4780,4151,25765,8242,929545,237100,36053,567900,11093,46416,244700,1692620,41010,188200,574500,125469,77466,204870,14304,32939,37105,18038,158986,6339,,24067,9290,60300,47900,2583,2200,104923,14468,26712,8909,1194771,556327,638444,31821,82950,21200,15670,45736,2357900,36450,8140,40539,15838,61500,38580,600,4814,4220,69310,126570,95340,37820,19383,1087,11746,52388,31820,55266,6640,1627836,65000,18900,0,264296,420140,32955,18350,35607,8,163612,17218,237863,43982
1990-07,7,1990,7208,18921,1228,7410,41420,59900,4841,46753,19458,3280,32030,48200,89580,5150,54357,10092,78214,35555,40656,28199,179000,47700,858253,16874,145234,259084,65700,8254,113900,7306,194000,77102,990,4948,52878,0,78837,36642,447,1525300,38377,1096000,52300,8940,10700,36880,54350,19800,67232,11942,249000,12143,86400,22044,268500,7166,21890,0,17445088,14570,50608,17910,3546,6980,20400000,86289,43961,16300,2777,36356,16900,67712,54100,19360,15599,3650,22266,2986,350,3445,10990,13550,10739,64300,5475,10051,13700,1169,73900,88300,64468,15195,34373,48416,144484,3561,16508,63015,16200,775,747,173558,28160,8573,5719,15308,695890,4598,4106,25067,8280,786967,178500,30242,479700,10218,49128,219900,1446234,40210,183900,576400,123987,73531,57296,15250,33490,38748,12037,162546,7159,8549,24676,9015,60500,44800,2611,1955,89439,11777,26432,6174,709258,363181,346077,29004,82400,20900,13175,42664,2060968,31069,6626,38262,14866,48400,35920,680,3841,5617,60749,116450,93564,20900,12678,1038,12269,15037,39412,62988,2930,1467519,63400,20350,0,226552,313100,31268,17980,40278,8,156518,16633,238087,41560
1990-08,8,1990,5994,17872,948,6610,39005,49800,4983,41500,5941,3541,32030,47500,66580,1400,53975,9763,68753,36067,36885,24911,172800,18800,813422,12915,141617,268099,68076,7974,86700,6619,172900,48374,860,4783,40782,0,67107,28921,408,1575100,37889,998100,33200,8380,4550,32270,50690,18300,67035,1045,191400,11542,64700,20604,198700,7809,14370,0,16670082,11030,48307,20210,3065,5889,19986000,87027,39887,15700,250,35320,14680,51515,39500,18720,14718,4077,22570,2881,343,3346,10501,13130,10298,17000,5049,9650,13911,632,64700,85300,55065,14881,24090,46843,113632,1463,15247,42958,14520,777,737,163307,24280,9089,5389,12566,655710,4421,3636,24480,8044,737623,118900,23592,411500,9429,46075,179000,1187386,40060,177600,590100,116953,66685,29050,15280,33032,34634,9932,155281,6728,8115,24367,6930,55600,38300,2632,1778,73921,15665,26434,4362,490766,272164,218602,26531,81790,20800,11410,37985,1692910,25260,5530,37978,15830,35700,33351,690,2954,5479,48809,95872,91543,9400,8383,998,10020,11113,35765,59745,3000,1343805,64700,22209,0,188042,237500,29286,17710,25669,8,149501,15990,238375,38064
1990-09,9,1990,5673,17078,191,5490,37879,46800,4876,26474,5051,3271,32700,50400,57110,1110,53696,9528,65738,36436,34188,19219,172800,12600,764997,10951,138180,268140,66960,7844,65200,6002,160100,32292,739,2777,36210,0,71493,27935,372,1481500,35163,992000,20400,5610,3000,29920,47070,17000,65250,1052,178200,11212,48500,20673,183300,8632,7340,0,16272000,11350,46613,24060,2145,5758,20144000,73782,39120,14600,0,34450,12270,48758,25400,18193,13743,3953,21026,2832,331,2725,10075,12680,10164,0,4643,9268,14247,386,55800,84600,53893,15050,14402,44170,101502,1555,10343,23654,12840,782,702,151388,20888,9206,6054,10142,627430,4310,1563,23880,7988,714330,107800,20164,377700,8740,47467,137400,1163259,39370,173100,561500,111555,49347,29547,11500,32576,37648,9811,162622,7810,9324,23198,4550,38000,32400,2583,1678,54539,17800,28508,3258,488129,387763,100365,24841,80330,20700,9975,34054,1637368,28000,1193,42370,15550,30600,31051,680,2113,4981,43555,83099,90747,11500,5590,963,8722,8913,,,2650,1162444,61200,3838,0,153701,188340,28054,17430,16638,10,145655,15462,237228,41153
1990-10,10,1990,5256,16329,457,4715,36888,50104,4869,20178,6844,3380,27600,43674,46521,834,53391,9328,65738,36362,32606,13333,170070,11900,702729,9874,135095,277866,56845,7766,69735,5632,154300,19501,620,4815,29697,0,72885,26280,351,1430800,33080,974711,15930,3119,13820,27560,44176,772,61516,1020,167965,10779,34272,19558,160138,6915,7100,0,16225000,11610,45040,25850,2672,5634,19996000,68180,33296,14338,25,33580,11530,46859,24495,17813,11883,,21995,2768,323,2667,9841,12680,10061,0,4208,8793,13844,251,47498,87300,50214,,10404,44590,83504,2414,6098,21720,12286,782,662,124902,18720,8753,5821,8907,608455,4203,4332,23320,7782,655647,100638,17135,375664,9116,46836,101480,1173203,39048,172140,549900,108317,31457,34535,12400,32985,33946,9747,165346,5418,8662,23540,1156,30586,26312,2355,1621,26845,18515,30324,2373,340198,333043,7155,23873,76840,20566,12400,32716,1679211,24620,1920,40568,15636,31288,29206,509,860,4689,33500,72101,89053,8715,4252,935,8732,7424,26464,51109,5980,1002025,54374,4693,0,134907,176950,27195,17224,18780,0,142498,14813,221318,46210
1990-11,11,1990,5296,15856,454,4715,36009,45675,4545,20113,8564,2995,27420,42269,33200,1197,53229,9232,58630,36067,31062,9165,156680,12300,694378,7328,132608,248560,57877,7712,37886,5165,153900,14693,511,4645,28655,0,72049,22710,345,1445400,30384,1011123,12140,2795,5180,25490,41335,282,59793,1045,172900,10679,33883,19324,161900,5564,7020,0,16088361,11680,44251,29180,3383,5589,19948992,61970,28999,14251,41,32830,11170,46327,24047,17509,10646,,21970,2749,320,2492,9591,10880,9999,0,4076,7510,13933,272,40003,91000,45620,14653,10203,45423,61951,2823,4763,19880,12000,786,631,135286,18160,8041,6204,7676,603115,4140,4243,23160,7750,607280,89446,15604,365100,9062,49155,89755,1155535,38411,163470,539800,107582,17717,38337,14480,33032,29189,9838,157188,7034,8472,23790,884,29693,21348,2435,1583,19366,10641,25469,2470,344850,335895,8956,25550,77171,22657,17155,33727,1681100,22480,641,37544,16398,19912,28560,660,876,4276,21300,66088,87854,10580,4227,921,10447,7527,44028,68933,4220,970000,54609,4693,0,118927,194370,27138,17153,12550,0,137053,14388,185878,46441
